scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC,Speed
1,0,0,65.2568,7200.0,3,0.0,0.0,2400,0.0,0.0,68.958336
1,1,0,65.2568,7200.0,3,0.0,0.0,2400,0.0,0.0,68.958336
1,2,0,78.61693,4800.0,2,0.0,0.0,2400,0.0,0.0,57.239582
1,3,0,65.2568,7200.0,3,0.0,0.0,2400,0.0,0.0,68.958336
1,4,0,69.71063,7200.0,3,0.0,0.0,2400,500.0,2100.0,64.55257
1,5,0,57.311325,7200.0,3,0.0,0.0,2400,0.0,0.0,69.794235
1,0,1,75.99862,7200.0,3,0.0,0.0,2400,0.0,0.0,67.10648
1,1,1,75.99862,7200.0,3,0.0,0.0,2400,0.0,0.0,28.915907
1,2,1,90.0,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
1,3,1,70.434784,7200.0,3,0.0,0.0,2400,0.0,0.0,68.14815
1,4,1,74.38246,7200.0,3,0.0,0.0,2400,500.0,2100.0,64.59585
1,5,1,61.986576,7200.0,3,0.0,0.0,2400,0.0,0.0,69.31579
1,0,2,65.2568,7200.0,3,0.0,0.0,2400,0.0,0.0,68.958336
1,1,2,65.2568,7200.0,3,0.0,0.0,2400,0.0,0.0,38.321278
1,2,2,78.61693,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
1,3,2,65.2568,7200.0,3,0.0,0.0,2400,0.0,0.0,68.14815
1,4,2,69.71063,7200.0,3,0.0,0.0,2400,500.0,2100.0,64.46646
1,5,2,57.311325,7200.0,3,0.0,0.0,2400,0.0,0.0,69.4217
1,0,3,65.2568,7200.0,3,0.0,0.0,2400,0.0,0.0,68.958336
1,1,3,65.2568,7200.0,3,0.0,0.0,2400,0.0,0.0,68.958336
1,2,3,78.61693,4800.0,2,0.0,0.0,2400,0.0,0.0,57.239582
1,3,3,65.2568,7200.0,3,0.0,0.0,2400,0.0,0.0,68.958336
1,4,3,69.71063,7200.0,3,0.0,0.0,2400,500.0,2100.0,64.55257
1,5,3,57.311325,7200.0,3,0.0,0.0,2400,0.0,0.0,69.794235
