Scen,Seg,Period,KB
0,0,0,75.083336
0,1,0,92.2191
0,2,0,83.03581
0,3,0,88.3953
0,4,0,78.12065
0,5,0,109.58022
0,6,0,81.34298
0,7,0,99.83355
0,8,0,99.83355
0,9,0,95.052956
0,10,0,84.787605
0,0,1,83.03581
0,1,1,103.80126
0,2,1,94.57102
0,3,1,98.603775
0,4,1,86.60207
0,5,1,126.38237
0,6,1,94.57102
0,7,1,116.30031
0,8,1,116.30031
0,9,1,108.63341
0,10,1,101.43542
0,0,2,88.483185
0,1,2,112.03669
0,2,2,103.92489
0,3,2,105.200935
0,4,2,96.76516
0,5,2,140.0809
0,6,2,109.250725
0,7,2,128.57143
0,8,2,128.57143
0,9,2,119.34418
0,10,2,111.98874
0,0,3,78.12065
0,1,3,94.083595
0,2,3,84.787605
0,3,3,90.052536
0,4,3,79.705666
0,5,3,104.088425
0,6,3,79.705666
0,7,3,97.90496
0,8,3,97.90496
0,9,3,93.381165
0,10,3,83.03581
0,0,4,63.083332
0,1,4,72.38213
0,2,4,66.083336
0,3,4,70.42431
0,4,4,61.583332
0,5,4,75.87603
0,6,4,63.083332
0,7,4,74.123055
0,8,4,74.123055
0,9,4,71.8663
0,10,4,64.583336
