Seg,Period,Step,NV,SF,V
0,0,0,28.655655,200,69.79425178
1,0,0,28.655655,200,69.79425178
2,0,0,31.952667,200,62.59258421
3,0,0,28.655655,200,69.79425178
4,0,0,30.984497,200,64.54840948
5,0,0,25,175,70
0,0,1,28.655655,200,69.79425178
1,0,1,28.655655,200,69.79425178
2,0,1,31.952667,200,62.59258421
3,0,1,28.655655,200,69.79425178
4,0,1,30.984497,200,64.54840948
5,0,1,25,175,70
0,0,2,28.655655,200,69.79425178
1,0,2,28.655655,200,69.79425178
2,0,2,31.952667,200,62.59258421
3,0,2,28.655655,200,69.79425178
4,0,2,30.984497,200,64.54840948
5,0,2,25,175,70
0,0,3,28.655655,200,69.79425178
1,0,3,28.655655,200,69.79425178
2,0,3,31.952667,200,62.59258421
3,0,3,28.655655,200,69.79425178
4,0,3,30.984497,200,64.54840948
5,0,3,25,175,70
0,0,4,28.655655,200,69.79425178
1,0,4,28.655655,200,69.79425178
2,0,4,31.952667,200,62.59258421
3,0,4,28.655655,200,69.79425178
4,0,4,30.984497,200,64.54840948
5,0,4,25,175,70
0,1,0,37.9993,255,67.10649933
1,1,0,52.9993,240,45.28361695
2,1,0,45,240,53.33333333
3,1,0,35.217407,240,68.14811778
4,1,0,37.191223,240,64.53135462
5,1,0,30.993286,216.47058,69.84434629
0,1,1,37.9993,255,67.10649933
1,1,1,67.9993,240,35.29448097
2,1,1,45,240,53.33333333
3,1,1,35.217392,240.00002,68.14815248
4,1,1,37.191208,240.00002,64.53138602
5,1,1,30.993286,216.4706,69.84435274
0,1,2,37.9993,255,67.10649933
1,1,2,82.9993,240,28.91590652
2,1,2,45,240,53.33333333
3,1,2,35.217407,240,68.14811778
4,1,2,37.191223,240,64.53135462
5,1,2,30.993286,216.47058,69.84434629
0,1,3,37.9993,255,67.10649933
1,1,3,97.9993,240,24.48997085
2,1,3,45,240,53.33333333
3,1,3,35.217392,240.00002,68.14815248
4,1,3,37.191208,240.00002,64.53138602
5,1,3,30.993286,216.4706,69.84435274
0,1,4,37.9993,255,67.10649933
1,1,4,112.9993,240,21.23906962
2,1,4,45,240,53.33333333
3,1,4,35.217407,240,68.14811778
4,1,4,37.191223,240,64.53135462
5,1,4,30.993286,216.47058,69.84434629
0,2,0,32.628387,225,68.95835825
1,2,0,92.62839,240,25.90998289
2,2,0,39.30847,240,61.0555435
3,2,0,32.628403,240.00002,73.5555522
4,2,0,34.85533,240.00002,68.85604583
5,2,0,28.655655,214.31374,74.78933565
0,2,1,32.628387,225,68.95835825
1,2,1,77.62839,240,30.91652423
2,2,1,39.30847,240,61.0555435
3,2,1,32.628418,240,73.55551225
4,2,1,34.85533,240.00002,68.85604583
5,2,1,28.655655,213.33334,74.44720423
0,2,2,32.628387,225,68.95835825
1,2,2,62.628387,240,38.32128073
2,2,2,39.30847,240,61.0555435
3,2,2,32.628403,240.00002,73.5555522
4,2,2,34.855316,240.00003,68.85607636
5,2,2,28.655655,213.33336,74.4472112
0,2,3,32.628387,225,68.95835825
1,2,3,47.628387,240,50.39011714
2,2,3,39.30847,240,61.0555435
3,2,3,32.628418,240,73.55551225
4,2,3,34.855316,240,68.85606775
5,2,3,28.655655,213.33333,74.44720074
0,2,4,32.628387,225,68.95835825
1,2,4,32.628403,239.99998,73.55553994
2,2,4,39.30847,240,61.0555435
3,2,4,32.628403,240.00002,73.5555522
4,2,4,34.85533,240.00002,68.85604583
5,2,4,28.655655,213.33334,74.44720423
0,3,0,28.655655,200,69.79425178
1,3,0,28.65567,200,69.79421525
2,3,0,31.952667,200,62.59258421
3,3,0,28.65567,200,69.79421525
4,3,0,30.984497,200.00002,64.54841594
5,3,0,25,175.00002,70.000008
0,3,1,28.655655,200,69.79425178
1,3,1,28.655655,200.00002,69.79425876
2,3,1,31.952667,200.00002,62.59259047
3,3,1,28.655655,200.00003,69.79426225
4,3,1,30.984497,200.00003,64.54841917
5,3,1,25,175.00003,70.000012
0,3,2,28.655655,200,69.79425178
1,3,2,28.655655,200,69.79425178
2,3,2,31.952667,200,62.59258421
3,3,2,28.655655,200,69.79425178
4,3,2,30.984497,200,64.54840948
5,3,2,25,175,70
0,3,3,28.655655,200,69.79425178
1,3,3,28.655655,200,69.79425178
2,3,3,31.952667,200,62.59258421
3,3,3,28.655655,200,69.79425178
4,3,3,30.984497,200,64.54840948
5,3,3,25,175,70
0,3,4,28.655655,200,69.79425178
1,3,4,28.655655,200,69.79425178
2,3,4,31.952667,200,62.59258421
3,3,4,28.655655,200,69.79425178
4,3,4,30.984497,200,64.54840948
5,3,4,25,175,70
