scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC
0,0,0,28.571428,6857.143,3,0.0,0.0,2400,0.0,0.0
0,1,0,28.571428,6857.143,3,0.0,0.0,2400,0.0,0.0
0,2,0,28.571428,6857.143,3,0.0,0.0,2400,0.0,0.0
0,3,0,37.548138,6857.007,3,400.0,1999.9603,2400,0.0,0.0
0,4,0,34.285713,6857.007,3,0.0,0.0,2400,0.0,0.0
0,0,1,57.5233,6857.143,3,0.0,0.0,2400,0.0,0.0
0,1,1,57.5233,6857.143,3,0.0,0.0,2400,0.0,0.0
0,2,1,57.5233,6857.143,3,0.0,0.0,2400,0.0,0.0
0,3,1,76.3937,6857.073,3,700.0,1999.9797,2400,0.0,0.0
0,4,1,69.415855,6857.073,3,0.0,0.0,2400,0.0,0.0
0,0,2,28.571428,6857.143,3,0.0,0.0,2400,0.0,0.0
0,1,2,28.571428,6857.143,3,0.0,0.0,2400,0.0,0.0
0,2,2,28.571428,6857.143,3,0.0,0.0,2400,0.0,0.0
0,3,2,44.188774,6857.0264,3,800.0,1999.966,2400,0.0,0.0
0,4,2,40.0,6857.0264,3,0.0,0.0,2400,0.0,0.0
